Trades,Header,Platform,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,Units,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Term
Trades,Data,IBKR,Order,Stocks,USD,VEU,2022-11-29 15:08:39,121,Stocks,50.845,50.83,-6762.385,-1,6763.385,0,-1.995,,
Trades,Data,IBKR,Order,Stocks,USD,VOO,2022-09-12 11:54:13,4,Stocks,376.65,377.86,-1506.6,-1,1507.6,0,4.84,,
Trades,Data,IBKR,Order,Stocks,USD,VOO,2022-09-19 09:47:37,9,Stocks,354.75,358.59,-4257,-1,4258,0,46.08,,
Trades,Data,IBKR,Order,Stocks,USD,VOO,2022-10-17 11:42:40,23,Stocks,337.074791667,337,-8089.795,-1,8090.795,0,-1.795,,
Trades,Data,IBI,Order,Stocks,USD,VOO,2023-05-18 09:37:05,15,Stocks,381.2,381.2,-8386.4,-10,,0,0,,
Trades,Data,ETRADE,Grant,Rest. Stock,USD,INTC,2021-08-02 00:00:00,20,Stocks,54.0025,54.0025,-1080.05,0,1080.05,0,0,,
Trades,Data,ETRADE,Grant,Rest. Stock,USD,INTC,2021-11-01 00:00:00,20,Stocks,49.3,49.3,-986,0,986,0,0,,
Trades,Data,ETRADE,Grant,Rest. Stock,USD,INTC,2022-01-31 00:00:00,20,Stocks,48.0875,48.0875,-961.75,0,961.75,0,0,,
Trades,Data,ETRADE,Purchase,ESPP,USD,INTC,2022-02-18 00:00:00,152,Stocks,45.36,45.36,-6894.72,0,6894.72,0,0,,
Trades,Data,ETRADE,Grant,Rest. Stock,USD,INTC,2022-05-02 00:00:00,19,Stocks,44.2505263157895,44.2505263157895,-840.76,0,840.76,0,0,,
Trades,Data,ETRADE,Sell,Rest. Stock,USD,INTC,2023-04-21 00:00:00,60,Stocks,30.38,30.3696666666667,-1822.8,-0.619999999999891,1822.18,0,0,,
Trades,Data,ETRADE,Sell,ESPP,USD,INTC,2023-04-21 00:00:01,152,Stocks,30.38,30.3697368421053,-4617.76,-1.5600000000004,4616.2,0,0,,
Trades,Data,Binance,Buy Crypto,Cryptocurrency,USD,BTC-USD,2021-10-01 11:59:41,0.00124799,Crypto,49743.9883332398,48749.1085665751,,-1.2416,62.08,0,0,,
Trades,Data,Binance,Buy Crypto,Cryptocurrency,USD,BTC-USD,2023-02-27 09:00:35,0.00123856,Crypto,24221.676785945,23737.2432502261,,-0.6,30,0,0,,
